Type,MCM_Species,RADM2_Species,Belgium_RADM2_Emissions,Luxembourg_RADM2_Emissions,Netherlands_RADM2_Emissions,Total
,IPEAOH,HC8,9.27E+06,0.00E+00,4.77E+04,9.32E+06
,ME3BUOL,HC8,9.27E+06,0.00E+00,4.77E+04,9.32E+06
,IPECOH,HC3,2.53E+07,0.00E+00,1.30E+05,2.54E+07
,IPEBOH,HC8,9.27E+06,0.00E+00,4.77E+04,9.32E+06
,CYHEXOL,HC8,9.79E+06,0.00E+00,5.04E+04,9.84E+06
,MIBKAOH,KET,7.39E+07,6.36E+07,4.89E+07,1.86E+08
,ETHGLY,HC8,1.84E+07,1.47E+07,1.13E+07,4.44E+07
,PROPGLY,HC8,4.57E+07,4.39E+07,3.37E+07,1.23E+08
,C6H5CH2OH,HC8,2.64E+07,2.95E+07,2.26E+07,7.85E+07
,MBO,OLT,1.97E+07,0.00E+00,1.02E+05,1.98E+07
Ketones,CH3COCH3,KET,2.05E+09,2.11E+09,1.95E+09,6.11E+09
,MEK,KET,1.14E+09,1.23E+09,9.49E+08,3.32E+09
,MPRK,KET,1.03E+07,4.81E+05,4.23E+06,1.50E+07
,DIEK,KET,1.03E+07,4.81E+05,4.23E+06,1.50E+07
,MIPK,KET,1.03E+07,4.81E+05,4.23E+06,1.50E+07
,HEX2ONE,HC5,8.63E+06,4.03E+05,3.55E+06,1.26E+07
,HEX3ONE,HC5,8.63E+06,4.03E+05,3.55E+06,1.26E+07
,MIBK,HC5,8.34E+08,8.96E+08,6.95E+08,2.43E+09
,MTBK,KET,1.06E+07,4.96E+05,4.36E+06,1.55E+07
,CYHEXONE,HC5,8.73E+07,7.36E+07,9.18E+07,2.53E+08
Ethers,CH3OCH3,HC3,2.48E+08,6.41E+07,7.38E+07,3.86E+08
,DIETETHER,HC8,5.64E+07,7.40E+05,1.01E+07,6.72E+07
,MTBE,HC3,3.03E+07,2.12E+06,2.32E+07,5.56E+07
,DIIPRETHER,HC8,7.26E+07,8.06E+05,1.47E+07,8.81E+07
,ETBE,HC8,1.15E+07,8.06E+05,8.83E+06,2.11E+07
,MO2EOL,HC8,4.59E+07,4.22E+07,3.85E+07,1.27E+08
,EOX2EOL,HC8,5.16E+07,4.75E+07,4.33E+07,1.42E+08
,PR2OHMOX,HC8,9.46E+07,9.45E+07,8.00E+07,2.69E+08
,BUOX2ETOH,HC8,6.28E+08,6.76E+08,5.35E+08,1.84E+09
,BOX2PROL,HC8,1.04E+07,7.26E+05,7.97E+06,1.91E+07
Chlorinated_Hydrocarbons,CH2CL2,HC3,2.87E+08,1.41E+08,3.53E+08,7.81E+08
,CH3CH2CL,HC3,9.35E+07,0.00E+00,2.66E+08,3.60E+08
,CH3CCL3,HC3,3.18E+08,1.97E+08,2.53E+08,7.68E+08
,TRICLETH,HC3,7.64E+08,4.45E+08,7.03E+08,1.91E+09
,CDICLETH,HC3,3.16E+07,0.00E+00,8.88E+07,1.20E+08
,TDICLETH,HC3,3.14E+07,0.00E+00,8.87E+07,1.20E+08
,CH3CL,HC3,4.78E+07,0.00E+00,1.36E+08,1.84E+08
,CCL2CH2,HC8,1.14E+07,0.00E+00,3.25E+07,4.39E+07
,CHCL2CH3,HC3,3.69E+05,0.00E+00,1.24E+05,4.93E+05
,VINCL,HC8,1.06E+07,0.00E+00,3.03E+07,4.09E+07
,TCE,HC3,1.82E+08,1.08E+08,1.60E+08,4.50E+08
,CHCL3,HC3,1.01E+07,0.00E+00,2.88E+07,3.89E+07
Esters,METHACET,HC3,6.39E+07,0.00E+00,2.76E+06,6.67E+07
,ETHACET,HC3,2.04E+09,2.32E+09,1.78E+09,6.14E+09
,NBUTACET,HC5,1.29E+09,1.47E+09,1.13E+09,3.89E+09
,IPROACET,HC3,6.26E+08,7.14E+08,5.48E+08,1.89E+09
,CH3OCHO,HC3,1.19E+07,0.00E+00,5.16E+05,1.24E+07
,NPROACET,HC3,2.45E+08,2.68E+08,2.09E+08,7.22E+08
Terpenes,APINENE,OLI,8.78E+08,2.65E+09,3.05E+08,3.83E+09
,BPINENE,OLI,8.78E+08,2.65E+09,3.05E+08,3.83E+09
,LIMONENE,OLI,1.03E+09,2.80E+09,4.38E+08,4.27E+09
Total,,,5.83E+11,1.44E+12,6.42E+11,2.66E+12
